ID,논문 / 방법,출판·버전,분류,관련성,SOTA 판단,가장 중요한 결과 또는 한계,원문 링크
C1,Multi-Camera Calibration Using Far-Range Dual-LED Wand and Near-Range Chessboard Fused in Bundle Adjustment,Sensors 2024,카메라,5/5: 평가 설계,S1: 해당 stand-alone 비교,FusedBA 독립 기록 3D 오차 2.14310 mm; mocap-assisted는 더 낮음,https://www.mdpi.com/1424-8220/24/23/7416
C2,Wand-Based Calibration of Unsynchronized Multiple Cameras for 3D Localization,Sensors 2024,카메라,2/5,B,비동기 3카메라; 거리 재구성 오차 1.3425~18.5684 mm,https://www.mdpi.com/1424-8220/24/1/284
C3,Spatiotemporal Multi-Camera Calibration using Freely Moving People,"RA-L 2025, arXiv v3",카메라,2/5,S1: 실영상 pose·대응 추정,"동기화 실영상 Table I만 사용; translation은 정규화 값, mm 아님",https://arxiv.org/html/2502.12546v3
C4,Incremental Multi-Camera Extrinsic Calibration Method Based on PnP Integrating Weighted AprilTag Detections and Multi-View Triangulation,Algorithms 2026,카메라,4/5,B: 초기화 비교,평균 reprojection 7.451→1.006 px; 전역 BA 이전 초기화 성능,https://www.mdpi.com/1999-4893/19/5/371
C5,Multi-Camera Calibration With Imperfect 3-D Targets for Imaging Biological Systems,IEEE TIM 2026,카메라,5/5: 큐브 형상,B: 실측 정량 판단 보류,초록만 확인; 실측 조건과 수치 대응을 확인할 수 없어 정량 비교 제외,https://ieeexplore.ieee.org/document/11408373/
C6,Wand-Based Calibration Accuracy for Unsynchronized Multicamera Systems Without Timestamps,Sensors 2026,카메라,3/5,B,10카메라 3D 복원 1.445±0.833 mm; 3카메라는 개선 안 됨,https://www.mdpi.com/1424-8220/26/3/777
C7,Caliscope: GUI Based Multicamera Calibration and Motion Tracking,JOSS 2024,카메라,3/5,E,공개 실용 도구; 논문에 정량 정확도 비교표 없음,https://joss.theoj.org/papers/10.21105/joss.07155
C8,Enhanced Three-Axis Frame and Wand-Based Multi-Camera Calibration Method Using Adaptive Iteratively Reweighted Least Squares and Comprehensive Error Integration,Photonics 2024,카메라,5/5: 별도 물체 검증,S1: 검증 wand 거리,"실물 4카메라, 검증 wand 거리 0.42±0.09 / 0.46±0.13 mm",https://www.mdpi.com/2304-6732/11/9/867
C9,Calibration Procedure of a Multi-Camera System: Process Uncertainty Budget,Sensors 2023,카메라·계측,4/5,E: CMM 기반 평가,"CMM 기준 LME, 선택 조건 최대 0.030 mm; 정밀 측정 환경",https://www.mdpi.com/1424-8220/23/2/589
R1,A Graph-Based Optimization Framework for Hand-Eye Calibration for Multi-Camera Setups,ICRA 2023,로봇,5/5: 직접 비교,S1: 발표 당시 비교,실물 3카메라 평균 reprojection 1.6818 px,https://arxiv.org/pdf/2303.04747
R2,Multi-Camera Hand-Eye Calibration for Human-Robot Collaboration in Industrial Robotic Workcells,RA-L 2024,로봇,5/5: 최우선 비교,S1: METRIC 실물 위치 오차,"실물 13.21~51.18 mm; GT는 AprilTag+CAD+FK, 지표별 예외 있음",https://arxiv.org/html/2406.11392
R3,Simultaneously Calibration of Multi Hand-Eye Robot System Based on Graph,"2023 공개 / TIE 71(5), 2024",로봇,4/5,B,"UR3+UR5×2, 카메라 5대; 0.6274~0.6938 mm는 폐루프 오차",https://arxiv.org/pdf/2305.02518
R4,Probabilistic Framework for Hand–Eye and Robot–World Calibration AX=YB,"T-RO 2023, online 2022",로봇,5/5: 불확실성,B,측정별 covariance와 MLE; 정량 결과 원문표 미확인,https://doi.org/10.1109/TRO.2022.3214350
R5,Uncertainty-Aware Hand–Eye Calibration,"T-RO 2024, online 2023",로봇,5/5: 불확실성,S1: 실측 잔차·재구성,"UR3e 0.193 px, RAE 0.00073 mm²; robot poses 보정 포함",https://publikationen.bibliothek.kit.edu/1000167305
R6,Kalib: Easy Hand-Eye Calibration with Reference Point Tracking,IROS 2025 / arXiv 2024→2025,로봇,4/5,B,"CAD 없는 기준점 추적; DROID IoU 0.80, 전체 GT pose 오차 아님",https://arxiv.org/html/2408.10562
R7,EasyHeC: Accurate and Automatic Hand-eye Calibration via Differentiable Rendering and Space Exploration,RA-L 2023,로봇,3/5,B: 후속 EasyHeC++ 존재,실물 targeting 약 4 mm; extrinsic GT 오차 아님,https://ootts.github.io/easyhec/files/EasyHeC.pdf
R8,EasyHeC++: Fully Automatic Hand-Eye Calibration with Pretrained Image Models,IROS 2024,로봇,4/5,S1: 실측 targeting 비교,실제 targeting 3.0/3.1 mm; PCK에서는 일부 baseline보다 낮음,https://arxiv.org/html/2410.09293
R9,Calib3R: Hand-Eye Calibration and 3D Metric-Scaled Scene Reconstruction with 3D Foundation Models,"arXiv 2025, v2 2026-08-08",로봇,4/5,S2: markerless joint,UR Object 6.36 mm / 0.017 rad; 모든 marker-based보다 좋지는 않음,https://arxiv.org/html/2509.08813v2
R10,A Certifiably Correct Algorithm for Generalized Robot-World and Hand-Eye Calibration,arXiv 2025 / IJRR 2026,로봇·일반 운동계,4/5,B: 실측 지표별 부분 우위,실물 카메라 상대 오차 3.20 cm / 0.99°; 목적함수 최적성은 별도 기여,https://journals.sagepub.com/doi/10.1177/02783649261420308
R11,PlaneHEC: Efficient Hand-Eye Calibration for Multi-view Robotic Arm via Any Point Cloud Plane Detection,arXiv 2025 v1,로봇,3/5,S2: depth·plane,3.35 mm / 0.13°는 반복 추정 분산 기반; 독립 GT 아님,https://arxiv.org/html/2507.19851
R12,Optimal Uncertainty-Aware Calibration for the AX=YB Problem,"arXiv 2026, IJRR 심사 중",로봇·레이저 트래커,4/5,S2: 불확실성 적응,실측 conversion 0.342 mm; 카메라 실험 아닌 tracker–FK 비교,https://arxiv.org/html/2605.04809
